CauHoi,Intent
Thủ khoa đầu vào được cấp học bổng gì,info
Học bổng dành cho thủ khoa trị giá bao nhiêu,info
Sinh viên có học lực loại giỏi được học bổng gì không,info
Học bổng dành cho sinh viên đạt loại giỏi,info
Sinh viên học lực xuất sắc được học bổng bao nhiêu,info
Học bổng dành cho sinh viên đạt loại xuất sắc,info
Điều kiện để lấy được học bổng,info
Cách để lấy được học bổng,info
How to lấy được học bổng,info
"Mức cấp học bổng dành cho con, anh/chị em Ruột của cán bộ công đoàn",info
anh chị em ruột cán bộ đoàn được học bổng bao nhiêu,info
Mức cấp học bổng dành cho anh/chị em ruột học tại Trường,info
anh chị em ruột được cấp học bổng bao nhiêu,info
Sinh viên không vi phạm nội quy được nhiêu điểm rèn luyện,info
Sinh viên bị nhắc nhở trừ nhiêu điểm rèn luyện,info
Nhắc nhở trừ nhiêu điểm rèn luyện,info
Bị nhắc nhở trừ nhiêu điểm rèn luyện,info
Sinh viên bị phê bình trừ nhiêu điểm rèn luyện,info
Phê bình trừ nhiêu điểm rèn luyện,info
Bị phê bình trừ nhiêu điểm rèn luyện,info
Sinh viên bị nghiêm khắc phê bình trừ nhiêu điểm rèn luyện,info
Nghiêm khắc phê bình trừ nhiêu điểm rèn luyện,info
Sinh viên bị khiển trách trừ nhiêu điểm rèn luyện,info
Khiển trách trừ nhiêu điểm rèn luyện,info
Sinh viên bị cảnh cáo trừ nhiêu điểm rèn luyện,info
Cảnh cáo trừ nhiêu điểm rèn luyện,info
Sinh viên bị cảnh cáo lần 2 trừ nhiêu điểm rèn luyện,info
Cảnh cáo lần 2 trừ nhiêu điểm rèn luyện,info
Không tham gia hoạt động được phân công trừ nhiêu điểm rèn luyện,info
Quên tham gia hoạt động được phân công trừ nhiêu điểm rèn luyện,info
"Vô lễ, xúc phạm nhân phẩm, danh dự, xâm phạm thân thể thầy cô giáo, cán bộ nhà trường bị gì",info
"Vô lễ, xúc phạm nhân phẩm, danh dự, xâm phạm thân thể thầy cô giáo, cán bộ nhà trường bị xử lý sao",info
Vô lễ bị xử lý gì,info
"Xúc phạm nhân phẩm, danh dự thầy cô bị gì",info
"Xúc phạm nhân phẩm, danh dự thầy cô bị xử lý gì",info
Không chào hỏi người lớn trong Trường bị gì,info
Không chào hỏi người lớn trong Trường bị xử lý sao,info
Không chào hỏi người lớn trong Trường bị xử lý thế nào,info
Không chào hỏi người lớn trong Trường bị giám thị bắt thì bị xử lý sao,info
"Tặng quà cho giảng viên, viên chức bị xử lý gì",info
"Tặng quà cho giảng viên, viên chức bị xử lý sao",info
Tặng tiền cho giảng viên bị xử lý gì,info
Tặng tiền cho giảng viên bị xử lý sao,info
Tặng phẩm vật cho giảng viên bị xử lý gì,info
Tặng phẩm vật cho giảng viên bị xử lý sao,info
"Lên facebook viết xuyên tạc gây ảnh hưởng nhà trường, thầy cô bị xử lý gì",info
Lên facebook viết xuyên tạc gây ảnh hưởng đến nhà trường bị xử lý gì,info
Lên facebook viết xuyên tạc gây ảnh hưởng đến thầy cô bị xử lý gì,info
